season no.,episode no.,episode name,name,line
1,1,Pilot,Rick,Morty You gotta come on. Jus... you gotta come with me.
1,1,Pilot,Morty,"What, Rick Whats going on"
1,1,Pilot,Rick,"I got a surprise for you, Morty."
1,1,Pilot,Morty,Its the middle of the night. What are you talking about
1,1,Pilot,Rick,"Come on, I got a surprise for you.  Come on, hurry up."
1,1,Pilot,Morty,Ow Ow Youre tugging me too hard
1,1,Pilot,Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
1,1,Pilot,Rick,"What do you think of this... flying vehicle, Morty I built it outta stuff I found in the garage."
1,1,Pilot,Morty,"Yeah, Rick... I-its great. Is this the surprise"
1,1,Pilot,Rick,"Morty. I had to... I had to do it. I had I had to I had to make a bomb, Morty. I had to create a bomb."
1,1,Pilot,Morty,What A bomb
1,1,Pilot,Rick,"Were gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
1,1,Pilot,Morty,T-t-thats absolutely crazy
1,1,Pilot,Rick,"Come on, Morty. Just take it easy, Morty. Its gonna be good. Right now, were gonna go pick up your little friend Jessica."
1,1,Pilot,Morty,Jessica From my math class
1,1,Pilot,Rick,"When I drop the bomb you know, I want you to have somebody, you know I want you to have the thing. Im gonna make it like a new Adam and Eve, and youre gonna be Adam."
1,1,Pilot,Morty,Ohh...
1,1,Pilot,Rick,And Jessicas gonna be Eve.
1,1,Pilot,Morty,Whhhh-wha
1,1,Pilot,Rick,"And so thats the surprise, Morty."
1,1,Pilot,Morty,"No, you cant  Jessica doesnt even know I exist Butbut, but forget about that, because you cant blow up humanity"
1,1,Pilot,Rick,"I-I get what youre trying to say, Morty. Listen, Im not...  You dont got... Y-you dont gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. Im not that kind of guy, Morty."
1,1,Pilot,Morty,"What are you talking about, Rick"
1,1,Pilot,Rick,"You-you dont have to worry about me getting with Jessica or anything. Sh-sh-she she, she, shes all for you, Morty."
1,1,Pilot,Morty,I dont care about Jessica Y-Yyyyyyyyyyou
1,1,Pilot,Rick,"You know what, Morty Youre right.  Lets forget the girl altogether. She, shes probably nothing but trouble, anyways."
1,1,Pilot,Morty,"Thats it... thats it, Rick. Im taking the wheel."
1,1,Pilot,Rick,"Get off of me, Morty"
1,1,Pilot,Morty,"Im taking charge of this situation, buddy  Im putIm, Im, Im, Im puttin... I-Im, Im, Im not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world"
1,1,Pilot,Rick,"Come on Whats gotten into you If you love Earth so much why dont you marry it  What are you, crazy Alright, alright, Morty."
1,1,Pilot,Rick,Alright. Ill-Ill land. Ill land. Ill land. Ill land the thing. Ill land the thing. Big tough guy all of a sudden.
1,1,Pilot,Rick,"Well park it right here, Morty. Right here on the side of the ree... road here."
1,1,Pilot,Morty,"Oh, thank god."
1,1,Pilot,Rick,"You know what That was all a test, Morty. Just an elaborate test to make you more assertive."
1,1,Pilot,Morty,It was
1,1,Pilot,Rick,"Sure. Why not I dont, I dont know. Y-you know what, Mo"
1,1,Pilot,Morty,Um...
1,1,Pilot,Jerry,I see theres a new episode of that singing show tonight. Who do you guys think is gonna be the best singer
1,1,Pilot,Summer,"Oh my God, his head is in his food. Im going to puke."
1,1,Pilot,Beth,"Morty, are you getting sick  I told you not to practice-kiss the living room pillow. The dog sleeps on it."
1,1,Pilot,Morty,"I wasnt kissing a pillow, mom. I just I didnt get a lot of sleep last night. Maybe my dreams were just too loud or something."
1,1,Pilot,Summer,Or maybe you were out all night again with Grandpa Rick.
1,1,Pilot,Jerry,What
1,1,Pilot,Beth,Dad
1,1,Pilot,Rick,"What, so everyones supposed to sleep every single night now You realize that nighttime makes up half of all time"
1,1,Pilot,Jerry,Damn it
1,1,Pilot,Beth,Jerry
1,1,Pilot,Jerry,Beth
1,1,Pilot,Summer,"Oh my god, my parents are so loud, I want to die."
